Timestamp,Column 1,"📅 בחר את המשחקים האהובים עליך מהשבוע של 20-26 באפריל, 2025:","📅 בחר את המשחקים האהובים עליך מהשבוע של 13-19 באפריל, 2025:","📅 בחר את המשחקים האהובים עליך מהשבוע של 6-12 באפריל, 2025:","📅 בחר את המשחקים האהובים עליך מהשבוע של 30 במרץ-5 באפריל, 2025:","📅 בחר את המשחקים האהובים עליך מהשבוע של 23-29 במרץ, 2025:","📅 בחר את המשחקים האהובים עליך מהשבוע של 16-22 במרץ, 2025:"
05/05/2025 18:15,"Pacers vs Bucks (Apr 28), Bucks vs Pacers (Apr 29), Magic vs Celtics (Apr 30), Timberwolves vs Lakers (May 1)","Pistons vs Knicks (Apr 21), Thunder vs Grizzlies (Apr 26)","Clippers vs Warriors (Apr 13), Heat vs Bulls (Apr 16)","Lakers vs Thunder (Apr 6), 76ers vs Heat (Apr 7), Cavaliers vs Pacers (Apr 10), Hawks vs Nets (Apr 10), Bucks vs Pistons (Apr 11), Heat vs Pelicans (Apr 12), Nets vs Timberwolves (Apr 12), Warriors vs Trail Blazers (Apr 12)","Mavericks vs Bulls (Mar 30), Clippers vs Cavaliers (Mar 30), Pistons vs Timberwolves (Mar 30), Warriors vs Spurs (Mar 30), Clippers vs Magic (Mar 31), Celtics vs Grizzlies (Mar 31), Nets vs Mavericks (Apr 1), Warriors vs Grizzlies (Apr 2), Timberwolves vs Nuggets (Apr 2), Heat vs Celtics (Apr 2), Pistons vs Thunder (Apr 3), Spurs vs Nuggets (Apr 3), Jazz vs Pacers (Apr 4), Cavaliers vs Spurs (Apr 5), Nuggets vs Warriors (Apr 5)","Bulls vs Lakers (Mar 23), 76ers vs Hawks (Mar 23), Celtics vs Trail Blazers (Mar 23), Timberwolves vs Pacers (Mar 24), Mavericks vs Nets (Mar 24), Bucks vs Suns (Mar 25), Magic vs Hornets (Mar 25), Warriors vs Heat (Mar 25), Grizzlies vs Jazz (Mar 26), Wizards vs 76ers (Mar 26), Raptors vs Nets (Mar 26), Spurs vs Cavaliers (Mar 27), Pacers vs Wizards (Mar 27), Trail Blazers vs Kings (Mar 28), Cavaliers vs Pistons (Mar 28), Suns vs Timberwolves (Mar 29), Nets vs Wizards (Mar 29)","Heat vs Grizzlies (Mar 16), 76ers vs Mavericks (Mar 16), Magic vs Cavaliers (Mar 16), Hornets vs Clippers (Mar 16), Pistons vs Pelicans (Mar 18), Nuggets vs Warriors (Mar 18), Nets vs Celtics (Mar 18), Wizards vs Trail Blazers (Mar 18), Rockets vs Magic (Mar 19), Bucks vs Warriors (Mar 19), Knicks vs Spurs (Mar 20), Nuggets vs Lakers (Mar 20), Nets vs Pacers (Mar 20), Rockets vs Heat (Mar 22), Pistons vs Mavericks (Mar 22), Nets vs Pacers (Mar 22)"
05/05/2025 18:15,"Rockets vs Warriors (Apr 27), Knicks vs Pistons (Apr 27), Lakers vs Timberwolves (Apr 27), Clippers vs Nuggets (Apr 30), Timberwolves vs Lakers (May 1), Knicks vs Pistons (May 1), Nuggets vs Clippers (May 2)","Timberwolves vs Lakers (Apr 20), Warriors vs Rockets (Apr 21), Clippers vs Nuggets (Apr 22), Timberwolves vs Lakers (Apr 23), Warriors vs Rockets (Apr 24), Knicks vs Pistons (Apr 24), Nuggets vs Clippers (Apr 25), Lakers vs Timberwolves (Apr 26), Nuggets vs Clippers (Apr 26)","Nuggets vs Rockets (Apr 13), Clippers vs Warriors (Apr 13), Clippers vs Nuggets (Apr 19), Pistons vs Knicks (Apr 19)","Lakers vs Thunder (Apr 6), Pacers vs Nuggets (Apr 7), Rockets vs Warriors (Apr 7)",,,
05/05/2025 19:14,"Timberwolves vs Lakers (May 1), Rockets vs Warriors (May 3), Clippers vs Nuggets (May 3)","Timberwolves vs Lakers (Apr 20), Warriors vs Rockets (Apr 21), Pistons vs Knicks (Apr 21), Clippers vs Nuggets (Apr 22), Nuggets vs Clippers (Apr 25)","Heat vs Bulls (Apr 16), Heat vs Hawks (Apr 18)","Heat vs Bulls (Apr 10), Heat vs Pelicans (Apr 12)","Heat vs Wizards (Mar 31), Heat vs Celtics (Apr 2), Grizzlies vs Heat (Apr 3)","Hornets vs Heat (Mar 23), Warriors vs Heat (Mar 25), Hawks vs Heat (Mar 27), Heat vs 76ers (Mar 29)","Raptors vs Trail Blazers (Mar 16), Heat vs Knicks (Mar 17), Wizards vs Trail Blazers (Mar 18), Rockets vs Heat (Mar 22), Nuggets vs Trail Blazers (Mar 22)"
05/05/2025 19:59,"Knicks vs Pistons (Apr 27), Celtics vs Magic (Apr 27), Rockets vs Warriors (Apr 29), Pistons vs Knicks (Apr 29), Clippers vs Nuggets (Apr 30), Knicks vs Pistons (May 1), Clippers vs Nuggets (May 3)","Grizzlies vs Thunder (Apr 20), Bucks vs Pacers (Apr 22)","Magic vs Hawks (Apr 13), Raptors vs Spurs (Apr 13), Mavericks vs Grizzlies (Apr 19)","Bulls vs Hornets (Apr 6), Spurs vs Trail Blazers (Apr 6), Rockets vs Warriors (Apr 7), 76ers vs Heat (Apr 7), Hawks vs Magic (Apr 8), Pelicans vs Nets (Apr 8), Celtics vs Knicks (Apr 8), Warriors vs Suns (Apr 9), Spurs vs Clippers (Apr 9), Lakers vs Mavericks (Apr 9)",,"Bulls vs Lakers (Mar 23), Cavaliers vs Jazz (Mar 23), Nuggets vs Rockets (Mar 23), Thunder vs Clippers (Mar 24), Raptors vs Wizards (Mar 24), 76ers vs Pelicans (Mar 25), Bucks vs Nuggets (Mar 27)","Raptors vs Trail Blazers (Mar 16), Thunder vs Bucks (Mar 17), Heat vs Knicks (Mar 17), Bulls vs Jazz (Mar 18), Nuggets vs Warriors (Mar 18), Cavaliers vs Clippers (Mar 19), Mavericks vs Pacers (Mar 19), Bucks vs Lakers (Mar 21), Magic vs Wizards (Mar 21), 76ers vs Spurs (Mar 22), Celtics vs Jazz (Mar 22), Cavaliers vs Suns (Mar 22), Nuggets vs Trail Blazers (Mar 22), Grizzlies vs Clippers (Mar 22), Nets vs Pacers (Mar 22), Warriors vs Hawks (Mar 22)"
05/07/2025 16:55,"Rockets vs Warriors (Apr 27), Celtics vs Magic (Apr 27), Rockets vs Warriors (Apr 29), Magic vs Celtics (Apr 30), Clippers vs Nuggets (Apr 30), Warriors vs Rockets (Apr 30), Timberwolves vs Lakers (May 1), Rockets vs Warriors (May 3)","Magic vs Celtics (Apr 20), Warriors vs Rockets (Apr 21), Magic vs Celtics (Apr 23), Warriors vs Rockets (Apr 24), Celtics vs Magic (Apr 25)","Magic vs Hawks (Apr 13), Clippers vs Warriors (Apr 13), Lakers vs Trail Blazers (Apr 13), Hawks vs Magic (Apr 15)","Rockets vs Warriors (Apr 7), Hawks vs Magic (Apr 8), Warriors vs Suns (Apr 9), Celtics vs Magic (Apr 9), Trail Blazers vs Jazz (Apr 10), Spurs vs Warriors (Apr 10), Magic vs Pacers (Apr 11), Warriors vs Trail Blazers (Apr 12)","Trail Blazers vs Knicks (Mar 30), Clippers vs Magic (Mar 31), Trail Blazers vs Hawks (Apr 1), Magic vs Spurs (Apr 2), Magic vs Wizards (Apr 3), Trail Blazers vs Raptors (Apr 3), Warriors vs Lakers (Apr 4), Nuggets vs Warriors (Apr 5)","Lakers vs Magic (Mar 24), Magic vs Hornets (Mar 25), Cavaliers vs Trail Blazers (Mar 26), Mavericks vs Magic (Mar 27), Trail Blazers vs Kings (Mar 28), Warriors vs Pelicans (Mar 29), Kings vs Magic (Mar 29)","Knicks vs Warriors (Mar 16), Magic vs Cavaliers (Mar 16), Rockets vs Magic (Mar 19), Magic vs Wizards (Mar 21), Nuggets vs Trail Blazers (Mar 22)"
05/07/2025 17:27,"Rockets vs Warriors (Apr 27), Knicks vs Pistons (Apr 27), Rockets vs Warriors (Apr 29), Pistons vs Knicks (Apr 29), Clippers vs Nuggets (Apr 30), Warriors vs Rockets (Apr 30), Knicks vs Pistons (May 1), Nuggets vs Clippers (May 2), Rockets vs Warriors (May 3), Clippers vs Nuggets (May 3)","Timberwolves vs Lakers (Apr 20), Warriors vs Rockets (Apr 21), Pistons vs Knicks (Apr 21), Clippers vs Nuggets (Apr 22), Timberwolves vs Lakers (Apr 23), Warriors vs Rockets (Apr 24), Knicks vs Pistons (Apr 24), Nuggets vs Clippers (Apr 25)","Clippers vs Warriors (Apr 13), Clippers vs Nuggets (Apr 19), Pistons vs Knicks (Apr 19)",,,,
05/07/2025 22:19,"Pistons vs Knicks (Apr 29), Clippers vs Nuggets (Apr 30), Warriors vs Rockets (Apr 30), Nuggets vs Clippers (May 2), Clippers vs Nuggets (May 3)","Clippers vs Nuggets (Apr 22), Timberwolves vs Lakers (Apr 23), Knicks vs Pistons (Apr 24), Nuggets vs Clippers (Apr 25), Nuggets vs Clippers (Apr 26)","Pacers vs Cavaliers (Apr 13), Clippers vs Warriors (Apr 13), Clippers vs Nuggets (Apr 19)","Lakers vs Thunder (Apr 6), Rockets vs Warriors (Apr 7), Lakers vs Thunder (Apr 9), Lakers vs Mavericks (Apr 9)",Trail Blazers vs Knicks (Mar 30),Cavaliers vs Trail Blazers (Mar 26),"Nuggets vs Lakers (Mar 20), Nuggets vs Trail Blazers (Mar 22)"
05/07/2025 23:35,"Lakers vs Timberwolves (Apr 27), Pistons vs Knicks (Apr 29), Timberwolves vs Lakers (May 1)","Timberwolves vs Lakers (Apr 20), Clippers vs Nuggets (Apr 22), Timberwolves vs Lakers (Apr 23)","Nuggets vs Rockets (Apr 13), Clippers vs Warriors (Apr 13)",,,,
05/08/2025 08:36,,"Grizzlies vs Thunder (Apr 20), Grizzlies vs Thunder (Apr 22), Thunder vs Grizzlies (Apr 25), Thunder vs Grizzlies (Apr 26)",Thunder vs Pelicans (Apr 13),"Lakers vs Thunder (Apr 6), Lakers vs Thunder (Apr 9), Thunder vs Suns (Apr 10), Thunder vs Jazz (Apr 12)","Pacers vs Thunder (Mar 30), Pistons vs Thunder (Apr 3), Thunder vs Rockets (Apr 5)","Thunder vs Clippers (Mar 24), Thunder vs Kings (Mar 26), Grizzlies vs Thunder (Mar 28)","Thunder vs Bucks (Mar 17), 76ers vs Thunder (Mar 20), Hornets vs Thunder (Mar 22)"
05/08/2025 20:32,"Lakers vs Timberwolves (Apr 27), Bucks vs Pacers (Apr 29), Pistons vs Knicks (Apr 29), Clippers vs Nuggets (Apr 30)","Pistons vs Knicks (Apr 21), Bucks vs Pacers (Apr 22), Warriors vs Rockets (Apr 24), Thunder vs Grizzlies (Apr 25), Celtics vs Magic (Apr 25), Nuggets vs Clippers (Apr 26)","Magic vs Hawks (Apr 13), Wizards vs Heat (Apr 13)","Lakers vs Thunder (Apr 6), Kings vs Cavaliers (Apr 6), Kings vs Pistons (Apr 7), Hawks vs Magic (Apr 8), Timberwolves vs Bucks (Apr 9), Spurs vs Clippers (Apr 9), Hornets vs Raptors (Apr 9)","Pelicans vs Clippers (Apr 3), Grizzlies vs Heat (Apr 3), Trail Blazers vs Raptors (Apr 3), Pistons vs Raptors (Apr 4), Thunder vs Rockets (Apr 5)","Bucks vs Suns (Mar 25), Celtics vs Kings (Mar 25), Kings vs Magic (Mar 29)","Pacers vs Timberwolves (Mar 18), Pistons vs Pelicans (Mar 18), Knicks vs Spurs (Mar 20)"
